Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Xavier Cedeno","CHC",2,13,0,4,2,0,0,0,0,3,1,0,1,0.4,0.538461538,0.6,0.462760994831721,36
2019,"CC Sabathia","NYY",107.1,468,4.9472,112,23,0,64,59,27,39,0,3,107,0.265402843,0.331182795,0.511848341,0.3512807209004638,404
2019,"Fernando Rodney","2 Tms",47.2,210,5.6643,49,8,0,31,30,5,28,1,0,49,0.269230769,0.366666666,0.395604395,0.33193687730999083,494
2019,"Marco Estrada","OAK",23.2,106,6.8451,23,3,2,19,18,7,8,0,3,11,0.242105263,0.320754716,0.536842105,0.3540609422719704,1118
2019,"Tommy Hunter","PHI",5.1,18,0,2,0,0,0,0,0,0,0,0,5,0.111111111,0.111111111,0.111111111,0.09662302997377184,1157
2019,"Adam Ottavino","NYY",66.1,283,1.8995,47,9,1,17,14,5,40,3,2,88,0.198312236,0.315602836,0.308016877,0.2759262895925925,1247
2019,"Jon Edwards","CLE",8,36,2.25,5,2,0,2,2,2,6,0,2,5,0.178571428,0.361111111,0.464285714,0.3545057425896327,1483
2019,"Oliver Perez","CLE",40.2,173,3.9836,38,14,0,20,18,5,12,2,3,48,0.242038216,0.306358381,0.426751592,0.3059304687711928,1514
2019,"Sean Doolittle","WSN",60,260,4.05,63,10,3,27,27,11,15,2,2,66,0.260330578,0.308880308,0.462809917,0.3206829929630116,1581
2019,"Edwin Jackson","2 Tms",67.2,336,9.5764,105,25,3,81,72,23,32,0,3,52,0.351170568,0.416666666,0.685618729,0.44886561252531554,1841
2019,"Matt Moore","DET",10,33,0,3,0,0,0,0,0,1,0,0,9,0.09375,0.121212121,0.09375,0.0999732216199239,1890
2019,"Zack Greinke","2 Tms",208.2,810,2.9329,175,37,2,73,68,21,30,2,4,187,0.228161668,0.259627329,0.363754889,0.26278307584867083,1943
2019,"Ivan Nova","CHW",187,806,4.7166,225,44,0,107,98,30,47,1,9,114,0.302826379,0.349937733,0.483176312,0.3506938849304085,1994
2019,"Clayton Kershaw","LAD",178.1,706,3.028,145,23,3,63,60,28,41,0,2,189,0.221712538,0.269340974,0.394495412,0.2804471367922075,2036
2019,"Adam Wainwright","STL",171.2,745,4.1942,181,38,3,83,80,22,64,7,8,153,0.273413897,0.342354533,0.439577039,0.32951400514508855,2233
2019,"Hector Rondon","HOU",60.2,257,3.7088,56,14,1,25,25,10,20,0,4,48,0.242424242,0.3125,0.441558441,0.3187431807164103,2391
2019,"Corey Kluber","CLE",35.2,168,5.8037,44,11,0,26,23,4,15,0,3,38,0.297297297,0.371257485,0.452702702,0.35252770478140094,2429
2019,"Lance Lynn","TEX",208.1,875,3.672,195,42,6,89,85,21,59,0,8,246,0.243445692,0.299771167,0.389513108,0.2941142630249739,2520
2019,"Jhoulys Chacin","2 Tms",103.1,470,6.0097,115,20,2,73,69,25,46,1,5,101,0.279805352,0.356223175,0.520681265,0.36488676083985194,2608
2019,"Rick Porcello","BOS",174.1,768,5.5239,198,43,5,114,107,31,45,2,6,143,0.278089887,0.32591623,0.483146067,0.33801637898905695,2717
2019,"Ross Detwiler","CHW",69.2,315,6.5885,86,13,1,54,51,20,27,3,3,46,0.304964539,0.370607028,0.570921985,0.38735698634578336,2859
